"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"HP","Pentium","Intel","Pentium Quad","10th",8,"DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",32990,36865,10,4.1,77,9
"HP","Ryzen","AMD","Ryzen 3","10th",8,"DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",37990,46055,17,4.3,2214,241
"HP","Ryzen","AMD","Ryzen 3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",43490,52990,17,4.6,163,33
"HP","Ryzen","AMD","Ryzen 3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",41490,51748,19,4.2,153,21
"HP","Ryzen","AMD","Ryzen 5","11th",4,"DDR4","256 GB","1024 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",52990,57331,7,4.4,698,74
"HP","Ryzen","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","32-bit",0,"Casual","15.6",0,"No","No",52380,58500,10,0.0,0,0
"HP","Ryzen","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","32-bit",4,"Casual","14",0,"No","No",68100,78900,13,0.0,0,0
"HP","Ryzen","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","32-bit",0,"Casual","15.6",0,"No","No",48990,60959,19,4.6,17,1
"HP","Ryzen","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",49970,59808,16,4.5,193,28
"HP","Ryzen","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",48990,60959,19,4.4,45,5
"HP","Ryzen","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",51890,58657,11,4.3,519,48
"HP","Ryzen","AMD","Ryzen 7","11th",4,"DDR4","512 GB","0 GB","Windows","32-bit",0,"Casual","16",0,"Yes","No",109000,128000,14,0.0,0,0
"HP","Ryzen","AMD","Ryzen 7","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",57999,73625,21,4.1,44,5
"HP","Spectre","Intel","Core i5","10th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","16",1,"Yes","No",126000,152042,17,5.0,2,1
"HP","Spectre","Intel","Core i5","10th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","16",1,"Yes","Yes",114990,122803,6,4.4,145,19
